19/9/18	111680	111680	111640	111640
19/9/18	111660	111700	111630	111680
19/9/18	111690	111690	111650	111650
19/9/18	111650	111680	111650	111670
19/9/18	111680	111690	111670	111690
19/9/18	111680	111690	111630	111640
19/9/18	111630	111640	111600	111610
19/9/18	111610	111750	111600	111740
19/9/18	111760	111760	111690	111690
19/9/18	111680	111700	111670	111680
19/9/18	111680	111690	111630	111630
19/9/18	111630	111720	111630	111690
19/9/18	111690	111720	111620	111640
19/9/18	111620	111620	111540	111540
19/9/18	111550	111550	111470	111510
19/9/18	111510	111540	111500	111530
19/9/18	111530	111550	111520	111550
19/9/18	111550	111560	111510	111510
19/9/18	111510	111570	111510	111570
19/9/18	111570	111620	111560	111620
19/9/18	111600	111610	111540	111580
19/9/18	111580	111600	111580	111580
19/9/18	111600	111730	111580	111680
19/9/18	111680	111680	111610	111620
19/9/18	111620	111620	111600	111600
19/9/18	111610	111640	111580	111640
19/9/18	111640	111670	111620	111640
19/9/18	111640	111690	111630	111640
19/9/18	111650	111650	111620	111640
19/9/18	111620	111640	111620	111640
19/9/18	111630	111640	111610	111630
19/9/18	111630	111640	111580	111580
19/9/18	111570	111580	111550	111550
19/9/18	111540	111550	111520	111520
19/9/18	111530	111560	111520	111560
19/9/18	111550	111550	111490	111500
19/9/18	111510	111540	111500	111540
19/9/18	111530	111570	111520	111520
19/9/18	111520	111540	111510	111520
19/9/18	111520	111530	111510	111530
19/9/18	111530	111570	111530	111560
19/9/18	111540	111560	111520	111550
19/9/18	111550	111550	111480	111490
19/9/18	111490	111600	111490	111600
19/9/18	111600	111640	111600	111640
19/9/18	111640	111640	111620	111640
19/9/18	111630	111640	111580	111620
19/9/18	111620	111640	111580	111640
19/9/18	111640	111650	111620	111640
19/9/18	111640	111640	111600	111610
19/9/18	111590	111640	111590	111640
19/9/18	111640	111670	111630	111670
19/9/18	111670	111690	111590	111590
19/9/18	111590	111610	111590	111590
19/9/18	111590	111650	111590	111630
19/9/18	111630	111640	111610	111620
19/9/18	111620	111640	111600	111610
19/9/18	111610	111620	111590	111600
19/9/18	111600	111630	111570	111590
19/9/18	111600	111640	111570	111640
19/9/18	111640	111690	111600	111600
19/9/18	111580	111650	111580	111580
19/9/18	111590	111720	111590	111680
19/9/18	111680	111690	111620	111640
19/9/18	111640	111640	111590	111610
19/9/18	111610	111620	111590	111620
19/9/18	111620	111650	111590	111610
19/9/18	111600	111610	111580	111590
19/9/18	111580	111620	111580	111620
19/9/18	111620	111630	111600	111600
19/9/18	111600	111600	111580	111580
19/9/18	111580	111600	111570	111580
19/9/18	111590	111590	111550	111550
19/9/18	111550	111580	111540	111570
19/9/18	111560	111580	111550	111550
19/9/18	111570	111620	111570	111600
19/9/18	111610	111610	111580	111600
19/9/18	111590	111600	111590	111600
19/9/18	111600	111630	111590	111590
19/9/18	111590	111620	111580	111610
19/9/18	111610	111610	111600	111610
19/9/18	111610	111610	111600	111600
19/9/18	111600	111620	111580	111610
19/9/18	111610	111650	111610	111630
19/9/18	111630	111700	111620	111650
19/9/18	111670	111750	111660	111670
19/9/18	111670	111740	111660	111740
19/9/18	111710	111710	111680	111710
19/9/18	111710	111710	111680	111690
19/9/18	111680	111690	111650	111650
19/9/18	111660	111660	111630	111630
19/9/18	111630	111640	111580	111610
19/9/18	111600	111600	111570	111600
19/9/18	111590	111640	111590	111630
19/9/18	111640	111660	111630	111660
19/9/18	111630	111630	111610	111610
19/9/18	111610	111620	111560	111560
19/9/18	111570	111650	111560	111650
19/9/18	111650	111700	111630	111690
19/9/18	111680	111700	111660	111660
19/9/18	111660	111690	111660	111690
19/9/18	111690	111690	111670	111690
19/9/18	111690	111720	111690	111710
19/9/18	111710	111810	111710	111790
19/9/18	111790	111810	111740	111750
19/9/18	111760	111810	111740	111750
19/9/18	111740	111740	111700	111700
19/9/18	111700	111760	111700	111760
19/9/18	111760	111770	111720	111750
19/9/18	111760	111770	111730	111740
19/9/18	111740	111780	111720	111770
19/9/18	111770	111800	111760	111790
19/9/18	111780	111800	111750	111800
19/9/18	111810	111850	111800	111810
19/9/18	111820	111940	111820	111940
19/9/18	111930	111940	111850	111850
19/9/18	111850	111860	111790	111810
19/9/18	111790	111870	111790	111870
19/9/18	111860	111870	111820	111860
19/9/18	111870	111890	111850	111850
19/9/18	111860	111860	111830	111830
19/9/18	111820	111850	111780	111800
19/9/18	111790	111840	111730	111840
19/9/18	111840	111900	111830	111840
19/9/18	111820	111830	111770	111830
19/9/18	111820	111850	111820	111820
19/9/18	111820	111840	111820	111820
19/9/18	111810	111820	111750	111790
19/9/18	111790	111850	111790	111850
19/9/18	111860	111890	111850	111880
19/9/18	111890	111890	111800	111810
19/9/18	111810	111860	111800	111850
19/9/18	111840	111850	111810	111840
19/9/18	111840	111850	111810	111850
19/9/18	111860	111880	111820	111830
19/9/18	111840	111890	111830	111850
19/9/18	111870	111890	111840	111850
19/9/18	111840	111850	111790	111810
19/9/18	111810	111820	111760	111760
19/9/18	111760	111770	111670	111730
19/9/18	111740	111790	111720	111770
19/9/18	111770	111800	111740	111800
19/9/18	111790	111810	111690	111710
19/9/18	111700	111720	111690	111700
19/9/18	111720	111740	111710	111730
19/9/18	111720	111750	111670	111740
19/9/18	111730	111770	111710	111770
19/9/18	111760	111760	111720	111730
19/9/18	111720	111730	111670	111720
19/9/18	111720	111740	111590	111640
19/9/18	111630	111680	111620	111650
19/9/18	111670	111680	111620	111620
19/9/18	111640	111680	111620	111650
19/9/18	111640	111670	111580	111670
19/9/18	111660	111680	111650	111670
19/9/18	111660	111670	111630	111630
19/9/18	111630	111650	111600	111600
19/9/18	111600	111600	111540	111560
19/9/18	111560	111570	111540	111570
19/9/18	111570	111620	111570	111610
19/9/18	111600	111670	111590	111670
19/9/18	111660	111670	111630	111660
19/9/18	111650	111730	111650	111710
19/9/18	111710	111720	111680	111700
19/9/18	111700	111720	111630	111710
19/9/18	111720	111720	111690	111710
19/9/18	111710	111720	111610	111660
19/9/18	111670	111730	111650	111670
19/9/18	111670	111670	111620	111630
19/9/18	111640	111650	111630	111650
19/9/18	111640	111650	111610	111640
19/9/18	111640	111670	111640	111670
19/9/18	111670	111720	111660	111690
19/9/18	111680	111710	111660	111700
19/9/18	111700	111800	111700	111770
19/9/18	111750	111780	111750	111760
19/9/18	111750	111790	111700	111780
19/9/18	111790	111820	111730	111800
19/9/18	111800	111840	111760	111820
19/9/18	111820	111850	111780	111830
19/9/18	111830	111850	111790	111790
19/9/18	111790	111800	111770	111790
19/9/18	111780	111800	111730	111730
19/9/18	111740	111770	111740	111750
19/9/18	111750	111750	111720	111730
19/9/18	111720	111740	111710	111720
19/9/18	111720	111730	111650	111670
19/9/18	111650	111700	111630	111670
19/9/18	111680	111710	111670	111710
19/9/18	111690	111710	111670	111710
19/9/18	111710	111710	111710	111710
19/9/18	111710	111720	111700	111710
19/9/18	111700	111740	111680	111680
19/9/18	111700	111710	111670	111670
19/9/18	111670	111700	111670	111680
19/9/18	111690	111730	111680	111680
19/9/18	111670	111710	111670	111700
19/9/18	111700	111720	111680	111690
19/9/18	111680	111730	111680	111690
19/9/18	111690	111690	111650	111660
19/9/18	111660	111670	111580	111650
19/9/18	111640	111690	111640	111670
19/9/18	111670	111690	111590	111620
19/9/18	111610	111680	111600	111650
19/9/18	111660	111670	111650	111650
19/9/18	111650	111670	111650	111660
19/9/18	111670	111720	111650	111690
19/9/18	111720	111740	111690	111700
19/9/18	111710	111760	111710	111750
19/9/18	111740	111780	111710	111780
19/9/18	111780	111820	111780	111810
19/9/18	111810	111830	111780	111800
19/9/18	111810	111850	111800	111830
19/9/18	111830	111850	111810	111850
19/9/18	111840	111860	111820	111830
19/9/18	111830	111860	111820	111860
19/9/18	111860	111870	111840	111870
19/9/18	111850	111890	111830	111860
19/9/18	111880	111890	111790	111820
19/9/18	111810	111820	111770	111800
19/9/18	111790	111840	111790	111830
19/9/18	111820	111840	111780	111780
19/9/18	111780	111800	111770	111790
19/9/18	111780	111810	111770	111810
19/9/18	111790	111820	111780	111820
19/9/18	111820	111860	111810	111850
19/9/18	111840	111880	111830	111860
19/9/18	111870	111890	111840	111840
19/9/18	111850	111880	111850	111880
19/9/18	111880	111940	111850	111920
19/9/18	111930	111940	111860	111900
19/9/18	111900	111930	111890	111900
19/9/18	111890	111920	111870	111890
19/9/18	111910	111930	111890	111900
19/9/18	111910	111920	111880	111910
19/9/18	111930	111950	111910	111930
19/9/18	111930	112000	111920	111970
19/9/18	111980	112040	111960	111990
19/9/18	112000	112030	111970	112010
19/9/18	112010	112030	111990	112000
19/9/18	112000	112020	111980	112000
19/9/18	111990	112020	111970	112020
19/9/18	112030	112050	112010	112010
19/9/18	112010	112050	112000	112040
19/9/18	112040	112050	112000	112020
19/9/18	112020	112060	112020	112050
19/9/18	112030	112100	112020	112050
19/9/18	112080	112140	112020	112090
19/9/18	112100	112100	111990	112040
19/9/18	112030	112050	111980	112000
19/9/18	112000	112030	111990	112000
19/9/18	112010	112010	111970	111970
19/9/18	111980	111990	111950	111960
19/9/18	111970	111980	111940	111940
19/9/18	111950	111950	111910	111910
19/9/18	111910	111960	111900	111960
19/9/18	111940	112010	111940	112000
19/9/18	112000	112040	112000	112020
19/9/18	112040	112040	112020	112020
19/9/18	112010	112020	111980	111980
19/9/18	112010	112020	111990	111990
19/9/18	112000	112070	111990	112060
19/9/18	112060	112090	112040	112090
19/9/18	112070	112070	112020	112020
19/9/18	112020	112090	112020	112080
19/9/18	112090	112090	112070	112070
19/9/18	112070	112090	112060	112090
19/9/18	112080	112090	112060	112060
19/9/18	112070	112080	112060	112060
19/9/18	112080	112090	112060	112090
19/9/18	112100	112100	112070	112070
19/9/18	112090	112100	112070	112090
19/9/18	112090	112120	112080	112120
19/9/18	112120	112130	112090	112130
19/9/18	112120	112120	112080	112110
19/9/18	112110	112120	112110	112120
19/9/18	112110	112130	112110	112130
19/9/18	112120	112120	112100	112100
19/9/18	112100	112120	112060	112060
19/9/18	112070	112080	112050	112050
19/9/18	112050	112060	112010	112040
19/9/18	112040	112040	112020	112020
19/9/18	112030	112050	112010	112050
19/9/18	112030	112040	112000	112000
19/9/18	112000	112010	111970	111970
19/9/18	111990	112000	111970	111980
19/9/18	111980	112000	111980	111990
19/9/18	111980	112020	111980	112010
19/9/18	112010	112010	112000	112000
19/9/18	112000	112010	112000	112010
19/9/18	111990	111990	111990	111990
19/9/18	112000	112010	111980	112010
19/9/18	112010	112010	111990	112000
19/9/18	112000	112000	111990	112000
19/9/18	111980	111980	111980	111980
19/9/18	111980	112000	111980	112000
19/9/18	112000	112000	111990	111990
19/9/18	112000	112010	111990	112000
19/9/18	112000	112010	112000	112010
19/9/18	112010	112010	112010	112010
19/9/18	112010	112030	112000	112020
19/9/18	112020	112030	112020	112020
19/9/18	112020	112030	112020	112030
19/9/18	112020	112030	112010	112030
19/9/18	112030	112040	112020	112020
19/9/18	112020	112050	112020	112030
19/9/18	112020	112020	112000	112020
19/9/18	112010	112020	112010	112020
19/9/18	112020	112030	111980	111980
19/9/18	111980	111980	111970	111970
19/9/18	111970	111980	111950	111950
19/9/18	111950	111960	111950	111960
19/9/18	111960	111990	111960	111990
19/9/18	111980	112000	111980	112000
19/9/18	112000	112020	111990	112020
19/9/18	112020	112030	112000	112030
19/9/18	112030	112030	112000	112000
19/9/18	112010	112020	112000	112000
19/9/18	112020	112030	112010	112010
19/9/18	112030	112030	112000	112020
19/9/18	112020	112030	112020	112030
19/9/18	112030	112030	112000	112000
19/9/18	112000	112000	111950	111990
19/9/18	111980	112000	111970	111990
19/9/18	111980	111990	111980	111990
19/9/18	111970	111970	111970	111970
19/9/18	111960	111960	111930	111930
19/9/18	111940	111950	111930	111940
19/9/18	111940	111950	111930	111940
19/9/18	111930	111950	111930	111940
19/9/18	111930	111950	111930	111950
19/9/18	111950	111950	111940	111940
19/9/18	111940	111960	111940	111960
19/9/18	111960	111980	111960	111980
19/9/18	111970	111980	111950	111960
19/9/18	111960	111960	111960	111960
19/9/18	111960	111970	111960	111970
19/9/18	111960	111960	111940	111960
19/9/18	111960	111960	111960	111960
19/9/18	111960	111970	111930	111970
19/9/18	111960	111970	111960	111970
19/9/18	111960	111980	111960	111980
19/9/18	111960	111980	111960	111970
19/9/18	111980	111980	111960	111960
19/9/18	111950	111960	111940	111940
19/9/18	111940	111970	111930	111970
19/9/18	111950	111950	111950	111950
19/9/18	111960	111960	111960	111960
19/9/18	111970	111970	111950	111950
19/9/18	111980	111980	111960	111960
19/9/18	111980	112000	111970	111980
19/9/18	111990	112000	111980	112000
19/9/18	112010	112010	111980	112000
19/9/18	112000	112030	111990	112020
19/9/18	112020	112030	112010	112020
19/9/18	112030	112030	112030	112030
19/9/18	112020	112020	112010	112020
19/9/18	112030	112030	112010	112030
19/9/18	112010	112010	111980	111980
19/9/18	111990	112010	111990	112000
19/9/18	112000	112010	111990	111990
19/9/18	111990	112010	111990	111990
19/9/18	111990	112000	111980	111990
19/9/18	112010	112020	112000	112010
19/9/18	112000	112000	111990	111990
19/9/18	111990	112020	111990	112000
19/9/18	112000	112000	111990	112000
19/9/18	111980	112000	111980	112000
19/9/18	112000	112000	111970	111990
19/9/18	111970	111990	111970	111970
19/9/18	111970	111980	111970	111980
19/9/18	111970	111970	111950	111970
19/9/18	111970	111970	111940	111940
19/9/18	111940	111970	111940	111950
19/9/18	111950	111980	111950	111950
19/9/18	111970	111980	111950	111950
19/9/18	111960	111970	111950	111950
19/9/18	111950	111950	111940	111950
19/9/18	111950	111970	111950	111970
19/9/18	111960	111960	111950	111960
19/9/18	111950	111960	111950	111960
19/9/18	111940	111960	111930	111930
19/9/18	111930	111930	111890	111910
19/9/18	111890	111910	111890	111890
19/9/18	111890	111900	111870	111870
19/9/18	111870	111900	111870	111890
19/9/18	111900	111900	111890	111890
19/9/18	111890	111900	111890	111900
19/9/18	111890	111900	111890	111890
19/9/18	111900	111900	111890	111890
19/9/18	111900	111910	111880	111900
19/9/18	111880	111880	111860	111860
19/9/18	111880	111880	111850	111860
19/9/18	111860	111880	111850	111850
19/9/18	111870	111880	111850	111880
19/9/18	111880	111880	111880	111880
19/9/18	111870	111870	111840	111840
19/9/18	111870	111880	111860	111860
19/9/18	111860	111880	111860	111880
19/9/18	111880	111880	111860	111880
19/9/18	111880	111920	111880	111920
19/9/18	111890	111900	111890	111900
19/9/18	111900	111900	111900	111900
19/9/18	111910	111910	111910	111910
19/9/18	111910	111910	111900	111910
19/9/18	111920	111940	111920	111940
19/9/18	111920	111920	111910	111920
19/9/18	111930	111960	111930	111940
19/9/18	111950	111950	111950	111950
19/9/18	111940	111950	111930	111940
19/9/18	111930	111950	111930	111940
19/9/18	111930	111940	111930	111940
19/9/18	111940	111940	111930	111930
19/9/18	111930	111930	111920	111920
19/9/18	111920	111920	111920	111920
19/9/18	111920	111930	111920	111930
19/9/18	111930	111930	111910	111930
19/9/18	111930	111930	111910	111920
19/9/18	111910	111920	111910	111910
19/9/18	111910	111920	111900	111920
19/9/18	111920	111920	111900	111920
19/9/18	111910	111920	111900	111920
19/9/18	111920	111930	111910	111920
19/9/18	111920	111930	111920	111920
19/9/18	111920	111920	111900	111920
19/9/18	111920	111940	111920	111940
19/9/18	111930	111960	111900	111900
19/9/18	111900	111910	111900	111910
19/9/18	111910	111910	111910	111910
19/9/18	111910	111910	111900	111900
19/9/18	111900	111900	111890	111900
19/9/18	111890	111900	111880	111890
19/9/18	111870	111890	111870	111890
19/9/18	111890	111890	111880	111880
19/9/18	111870	111880	111870	111880
19/9/18	111880	111880	111880	111880
19/9/18	111880	111890	111880	111880
19/9/18	111870	111880	111860	111880
19/9/18	111880	111910	111870	111870
19/9/18	111900	111900	111880	111880
19/9/18	111870	111880	111870	111880
19/9/18	111870	111890	111850	111860
19/9/18	111860	111870	111790	111840
19/9/18	111820	111820	111810	111820
19/9/18	111820	111880	111820	111840
19/9/18	111860	111910	111860	111880
19/9/18	111880	111890	111880	111890
19/9/18	111880	111930	111860	111930
19/9/18	111910	111930	111880	111880
19/9/18	111890	111890	111880	111880
19/9/18	111880	111890	111880	111880
19/9/18	111880	111880	111870	111870
19/9/18	111850	111850	111810	111830
19/9/18	111840	111840	111800	111830
19/9/18	111840	111840	111840	111840
19/9/18	111840	111840	111820	111830
19/9/18	111830	111830	111820	111830
19/9/18	111820	111840	111810	111810
19/9/18	111830	111840	111810	111830
19/9/18	111830	111830	111830	111830
19/9/18	111830	111830	111830	111830
19/9/18	111820	111820	111800	111820
19/9/18	111820	111820	111760	111790
19/9/18	111780	111780	111750	111780
19/9/18	111780	111810	111770	111800
19/9/18	111800	111830	111800	111830
19/9/18	111820	111830	111780	111820
19/9/18	111820	111830	111810	111820
19/9/18	111810	111820	111770	111800
19/9/18	111780	111790	111780	111790
19/9/18	111800	111800	111790	111790
19/9/18	111790	111790	111780	111790
19/9/18	111800	111810	111790	111810
19/9/18	111810	111810	111800	111800
19/9/18	111790	111800	111760	111790
19/9/18	111790	111820	111790	111800
19/9/18	111800	111810	111800	111810
19/9/18	111780	111790	111740	111770
19/9/18	111770	111770	111700	111760
19/9/18	111760	111780	111720	111720
19/9/18	111740	111740	111660	111700
19/9/18	111700	111770	111670	111730
19/9/18	111730	111730	111710	111720
19/9/18	111720	111760	111710	111740
19/9/18	111750	111760	111740	111750
19/9/18	111770	111770	111650	111720
19/9/18	111710	111720	111710	111720
19/9/18	111710	111790	111710	111790
19/9/18	111790	111790	111770	111770
19/9/18	111770	111770	111770	111770
19/9/18	111790	111790	111780	111780
19/9/18	111770	111780	111770	111770
19/9/18	111770	111780	111760	111760
19/9/18	111780	111780	111750	111760
19/9/18	111780	111810	111770	111780
19/9/18	111810	111810	111790	111790
19/9/18	111800	111820	111660	111780
19/9/18	111780	111800	111750	111800
19/9/18	111750	111790	111750	111790
19/9/18	111790	111800	111760	111760
19/9/18	111800	111800	111800	111800
19/9/18	111780	111830	111780	111810
19/9/18	111790	111820	111790	111790
19/9/18	111790	111820	111760	111760
